date,stock_open,stock_close,stock_high,stock_low,stock_volume,news_headlines
2022-10-31,295.1300048828125,291.8800048828125,297.6199951171875,289.5,7505100.0,"Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch; Netflix's Squid Game: The Challenge season 2 release date, cast and trailer; WWE RAW (10/20) Ranks No. 6 Worldwide On Netflix With 2.6 Million Global Views; 5 Movies to Watch Before They Leave Netflix"
2022-11-01,296.1700134277344,286.75,299.70001220703125,286.4200134277344,6916400.0,5 Movies to Watch Before They Leave Netflix; Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-02,286.3999938964844,273.0,287.3299865722656,272.8399963378906,10367600.0,5 Movies to Watch Before They Leave Netflix; Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-03,271.25,269.0599975585937,276.2900085449219,268.79998779296875,7057400.0,5 Movies to Watch Before They Leave Netflix; Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-04,272.0199890136719,260.7900085449219,274.9700012207031,255.32000732421875,11124700.0,5 Movies to Watch Before They Leave Netflix; Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-07,261.0599975585937,258.6000061035156,261.1499938964844,252.08999633789068,7927000.0,5 Movies to Watch Before They Leave Netflix; Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-08,259.9200134277344,263.4599914550781,266.0799865722656,256.8800048828125,7683800.0,5 Movies to Watch Before They Leave Netflix; Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-09,259.6600036621094,254.66000366210932,260.8999938964844,254.22000122070312,7266000.0,5 Movies to Watch Before They Leave Netflix; Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-10,265.989990234375,274.9700012207031,275.3599853515625,260.0899963378906,9667300.0,5 Movies to Watch Before They Leave Netflix; Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
2022-11-11,274.4700012207031,290.1300048828125,290.6600036621094,271.5599975585937,9573800.0,5 Movies to Watch Before They Leave Netflix; Netflix: Kathryn Bigelow’s ‘A House of Dynamite’ Tops Weekly Streaming Through Oct. 26; Spanish Thriller 'City of Shadows' Comes to Netflix December 2026; Netflix Reportedly Producing ‘Crash Bandicoot’ Animated Series; Netflix Confirms ‘ONE PIECE: Into the Grand Line’ Release Date with First Look at Drum Island; 'One Piece' Season 2 gets premiere date on Netflix; 'One Piece' Season 2 gets premiere date on Netflix; Opinion | I Spoil Netflix’s Nuclear War Movie; Netflix’s “One Piece” Returning For Second Season In March; Netflix Explores Floyd Mayweather vs. Manny Pacquiao Rematch
